city,date,co,no2,o3,pm10,pm25,aqi_daily,aqi_monthly
Ahmedabad,2021-01-01,1,,,129,118,184,176.2
Ahmedabad,2021-01-02,1,40,14,171,98,175,176.2
Ahmedabad,2021-01-03,1,29,16,165,92,169,176.2
Ahmedabad,2021-01-04,1,37,13,264,141,233,176.2
Ahmedabad,2021-01-05,1,31,14,194,126,194,176.2
Ahmedabad,2021-01-06,1,31,14,167,106,179,176.2
Ahmedabad,2021-01-07,1,32,11,138,80,158,176.2
Ahmedabad,2021-01-08,1,45,9,158,98,171,176.2
Ahmedabad,2021-01-09,1,54,8,160,98,173,176.2
Ahmedabad,2021-01-10,1,40,10,142,80,157,176.2
Ahmedabad,2021-01-11,1,36,10,128,75,155,176.2
Ahmedabad,2021-01-12,1,48,12,126,74,162,176.2
Ahmedabad,2021-01-13,1,53,12,110,73,148,176.2
Ahmedabad,2021-01-14,1,37,13,98,64,140,176.2
Ahmedabad,2021-01-15,1,29,11,146,78,172,176.2
Ahmedabad,2021-01-16,1,37,11,177,84,193,176.2
Ahmedabad,2021-01-17,2,45,11,244,110,230,176.2
Ahmedabad,2021-01-18,1,47,9,160,101,183,176.2
Ahmedabad,2021-01-19,1,36,12,194,111,202,176.2
Ahmedabad,2021-01-20,1,35,12,242,128,238,176.2
Ahmedabad,2021-01-21,1,37,13,177,96,184,176.2
Ahmedabad,2021-01-22,1,51,2,222,128,214,176.2
Ahmedabad,2021-01-23,2,48,4,130,67,151,176.2
Ahmedabad,2021-01-24,1,34,15,200,77,188,176.2
Ahmedabad,2021-01-25,1,29,14,153,84,164,176.2
Ahmedabad,2021-01-26,1,30,15,156,78,160,176.2
Ahmedabad,2021-01-27,1,37,17,141,73,158,176.2
Ahmedabad,2021-01-28,1,42,15,139,85,164,176.2
Ahmedabad,2021-01-29,1,34,17,156,77,166,176.2
Ahmedabad,2021-01-30,1,33,17,130,66,142,176.2
Ahmedabad,2021-01-31,1,37,15,133,69,154,176.2
Ahmedabad,2021-02-01,1,36,14,137,81,169,177.5
Ahmedabad,2021-02-02,1,46,13,204,110,209,177.5
Ahmedabad,2021-02-03,2,51,16,230,118,221,177.5
Ahmedabad,2021-02-04,1,49,12,188,91,193,177.5
Ahmedabad,2021-02-05,1,38,12,135,62,151,177.5
Ahmedabad,2021-02-06,1,31,16,118,60,143,177.5
Ahmedabad,2021-02-07,1,30,15,100,52,126,177.5
Ahmedabad,2021-02-08,1,34,13,127,67,149,177.5
Ahmedabad,2021-02-09,2,45,15,241,101,242,177.5
Ahmedabad,2021-02-10,1,53,19,164,112,190,177.5
Ahmedabad,2021-02-11,2,53,13,242,114,233,177.5
Ahmedabad,2021-02-12,2,51,13,188,100,197,177.5
Ahmedabad,2021-02-13,2,55,15,216,116,220,177.5
Ahmedabad,2021-02-14,2,63,16,226,131,223,177.5
Ahmedabad,2021-02-15,1,45,14,135,84,156,177.5
Ahmedabad,2021-02-16,1,45,13,144,78,166,177.5
Ahmedabad,2021-02-17,2,45,10,193,103,203,177.5
Ahmedabad,2021-02-18,1,39,13,130,66,148,177.5
Ahmedabad,2021-02-19,1,37,13,97,59,132,177.5
Ahmedabad,2021-02-20,1,36,12,108,57,135,177.5
Ahmedabad,2021-02-21,1,37,14,123,65,150,177.5
Ahmedabad,2021-02-22,1,46,15,191,98,208,177.5
Ahmedabad,2021-02-23,1,51,14,221,105,214,177.5
Ahmedabad,2021-02-24,2,48,13,221,108,223,177.5
Ahmedabad,2021-02-25,1,36,13,135,65,150,177.5
Ahmedabad,2021-02-26,1,32,13,139,63,151,177.5
Ahmedabad,2021-02-27,1,28,11,126,51,123,177.5
Ahmedabad,2021-02-28,1,29,13,127,61,145,177.5
