city,date,co,no2,o3,pm10,pm25,aqi_daily,aqi_monthly
Bangalore,2021-01-01,,,,72,60,147,103.7
Bangalore,2021-01-02,1,12,20,73,50,116,103.7
Bangalore,2021-01-03,0,10,18,54,36,97,103.7
Bangalore,2021-01-04,0,13,14,57,32,89,103.7
Bangalore,2021-01-05,0,12,13,45,27,74,103.7
Bangalore,2021-01-06,0,12,11,28,12,47,103.7
Bangalore,2021-01-07,0,12,15,29,16,52,103.7
Bangalore,2021-01-08,0,11,12,41,22,67,103.7
Bangalore,2021-01-09,0,13,8,57,24,78,103.7
Bangalore,2021-01-10,0,12,11,51,48,88,103.7
Bangalore,2021-01-11,0,14,10,63,35,95,103.7
Bangalore,2021-01-12,0,15,10,63,34,92,103.7
Bangalore,2021-01-13,0,14,14,60,39,100,103.7
Bangalore,2021-01-14,0,12,10,66,42,106,103.7
Bangalore,2021-01-15,0,12,14,66,73,126,103.7
Bangalore,2021-01-16,0,12,15,72,47,115,103.7
Bangalore,2021-01-17,0,11,14,70,48,106,103.7
Bangalore,2021-01-18,0,11,16,60,35,95,103.7
Bangalore,2021-01-19,0,14,14,69,40,104,103.7
Bangalore,2021-01-20,0,14,16,83,53,120,103.7
Bangalore,2021-01-21,0,16,15,74,43,109,103.7
Bangalore,2021-01-22,0,11,9,62,38,102,103.7
Bangalore,2021-01-23,0,16,12,99,57,134,103.7
Bangalore,2021-01-24,0,17,15,89,43,115,103.7
Bangalore,2021-01-25,0,14,12,79,46,112,103.7
Bangalore,2021-01-26,0,15,13,74,40,102,103.7
Bangalore,2021-01-27,0,16,16,85,49,117,103.7
Bangalore,2021-01-28,0,15,14,94,60,128,103.7
Bangalore,2021-01-29,0,12,17,100,60,136,103.7
Bangalore,2021-01-30,0,14,15,90,54,124,103.7
Bangalore,2021-01-31,0,13,17,89,56,123,103.7
Bangalore,2021-02-01,0,16,15,79,43,110,110.1
Bangalore,2021-02-02,0,15,16,87,50,124,110.1
Bangalore,2021-02-03,0,14,18,95,57,135,110.1
Bangalore,2021-02-04,0,16,17,77,47,112,110.1
Bangalore,2021-02-05,0,18,17,77,46,105,110.1
Bangalore,2021-02-06,0,17,18,90,49,114,110.1
Bangalore,2021-02-07,0,17,17,88,64,106,110.1
Bangalore,2021-02-08,0,20,17,87,50,113,110.1
Bangalore,2021-02-09,0,19,17,83,50,116,110.1
Bangalore,2021-02-10,0,22,18,96,45,113,110.1
Bangalore,2021-02-11,1,18,18,107,56,128,110.1
Bangalore,2021-02-12,1,17,18,92,46,116,110.1
Bangalore,2021-02-13,1,17,16,90,42,111,110.1
Bangalore,2021-02-14,1,19,18,97,51,119,110.1
Bangalore,2021-02-15,1,19,19,104,48,120,110.1
Bangalore,2021-02-16,1,17,18,91,49,117,110.1
Bangalore,2021-02-17,0,17,19,82,46,109,110.1
Bangalore,2021-02-18,0,14,14,85,47,117,110.1
Bangalore,2021-02-19,0,15,13,80,50,119,110.1
Bangalore,2021-02-20,0,12,11,56,32,83,110.1
Bangalore,2021-02-21,0,10,10,39,22,60,110.1
Bangalore,2021-02-22,0,11,10,42,22,63,110.1
Bangalore,2021-02-23,0,14,12,60,33,86,110.1
Bangalore,2021-02-24,0,17,16,84,42,112,110.1
Bangalore,2021-02-25,1,20,15,91,53,124,110.1
Bangalore,2021-02-26,1,20,17,100,53,124,110.1
Bangalore,2021-02-27,1,20,19,89,49,113,110.1
Bangalore,2021-02-28,0,20,17,86,45,113,110.1
Bangalore,2021-03-01,1,22,15,79,42,99,103.3
Bangalore,2021-03-02,0,18,16,84,46,109,103.3
Bangalore,2021-03-03,0,19,16,96,48,114,103.3
Bangalore,2021-03-04,1,19,16,80,40,98,103.3
Bangalore,2021-03-05,0,16,13,68,31,87,103.3
Bangalore,2021-03-06,1,20,14,73,36,92,103.3
Bangalore,2021-03-07,1,17,15,73,40,100,103.3
Bangalore,2021-03-08,1,15,13,56,27,73,103.3
Bangalore,2021-03-09,0,11,13,51,25,76,103.3
Bangalore,2021-03-10,0,12,12,50,20,70,103.3
Bangalore,2021-03-11,0,10,14,48,25,76,103.3
Bangalore,2021-03-12,0,14,14,59,30,85,103.3
Bangalore,2021-03-13,1,13,15,60,30,86,103.3
Bangalore,2021-03-14,0,11,17,58,28,86,103.3
Bangalore,2021-03-15,1,14,19,60,31,88,103.3
Bangalore,2021-03-16,1,14,17,73,38,104,103.3
Bangalore,2021-03-17,1,17,19,78,43,113,103.3
Bangalore,2021-03-18,0,17,20,90,50,126,103.3
Bangalore,2021-03-19,1,18,18,96,50,127,103.3
Bangalore,2021-03-20,0,16,24,90,45,140,103.3
Bangalore,2021-03-21,0,16,21,89,43,120,103.3
Bangalore,2021-03-22,1,16,18,86,41,107,103.3
Bangalore,2021-03-23,0,13,17,78,39,102,103.3
Bangalore,2021-03-24,0,13,16,82,40,101,103.3
Bangalore,2021-03-25,0,12,15,84,40,98,103.3
Bangalore,2021-03-26,1,14,19,101,51,116,103.3
Bangalore,2021-03-27,1,13,20,102,52,120,103.3
Bangalore,2021-03-28,1,12,22,107,57,129,103.3
Bangalore,2021-03-29,0,16,19,103,54,122,103.3
Bangalore,2021-03-30,0,17,17,95,51,112,103.3
Bangalore,2021-03-31,1,21,16,114,57,127,103.3
Bangalore,2021-04-01,1,18,16,90,46,106,103.4
Bangalore,2021-04-02,0,17,16,80,37,106,103.4
Bangalore,2021-04-03,1,15,19,101,43,113,103.4
Bangalore,2021-04-04,1,15,18,103,46,120,103.4
Bangalore,2021-04-05,0,14,18,107,50,117,103.4
Bangalore,2021-04-06,1,11,21,103,58,124,103.4
Bangalore,2021-04-07,0,13,20,100,55,117,103.4
Bangalore,2021-04-08,1,13,22,110,62,124,103.4
Bangalore,2021-04-09,0,13,21,99,51,118,103.4
Bangalore,2021-04-10,0,13,23,95,52,116,103.4
Bangalore,2021-04-11,1,10,18,70,38,99,103.4
Bangalore,2021-04-12,0,19,12,58,29,82,103.4
Bangalore,2021-04-13,0,34,14,55,31,84,103.4
Bangalore,2021-04-14,1,13,14,54,27,83,103.4
Bangalore,2021-04-15,1,14,16,46,22,69,103.4
Bangalore,2021-04-16,0,17,18,60,36,84,103.4
Bangalore,2021-04-17,1,17,22,73,40,98,103.4
Bangalore,2021-04-18,1,14,22,74,41,100,103.4
Bangalore,2021-04-19,0,17,20,71,38,88,103.4
Bangalore,2021-04-20,1,16,21,73,45,107,103.4
Bangalore,2021-04-21,1,16,22,79,43,111,103.4
Bangalore,2021-04-22,1,14,22,73,38,94,103.4
Bangalore,2021-04-23,0,12,19,53,29,80,103.4
Bangalore,2021-04-24,0,11,19,47,29,82,103.4
Bangalore,2021-04-25,1,11,16,74,44,110,103.4
Bangalore,2021-04-26,0,14,16,85,48,116,103.4
Bangalore,2021-04-27,0,14,14,93,48,119,103.4
Bangalore,2021-04-28,0,11,18,102,46,128,103.4
Bangalore,2021-04-29,0,10,18,82,40,110,103.4
Bangalore,2021-04-30,1,11,19,73,36,96,103.4
Bangalore,2021-05-01,0,12,17,80,44,106,57.2
Bangalore,2021-05-02,0,12,16,59,31,76,57.2
Bangalore,2021-05-03,1,13,14,38,19,56,57.2
Bangalore,2021-05-04,1,13,16,52,29,73,57.2
Bangalore,2021-05-05,0,13,18,58,34,82,57.2
Bangalore,2021-05-06,0,12,14,51,30,75,57.2
Bangalore,2021-05-07,0,12,11,44,21,58,57.2
Bangalore,2021-05-08,0,13,13,46,21,63,57.2
Bangalore,2021-05-09,0,14,14,38,19,61,57.2
Bangalore,2021-05-10,0,13,13,43,27,67,57.2
Bangalore,2021-05-11,1,13,13,48,27,74,57.2
Bangalore,2021-05-12,0,12,15,47,27,68,57.2
Bangalore,2021-05-13,0,12,13,30,17,48,57.2
Bangalore,2021-05-14,0,11,12,26,12,38,57.2
Bangalore,2021-05-15,0,11,11,18,7,27,57.2
Bangalore,2021-05-16,0,10,11,20,10,34,57.2
Bangalore,2021-05-17,0,11,10,25,11,36,57.2
Bangalore,2021-05-18,0,11,9,27,11,37,57.2
Bangalore,2021-05-19,0,11,9,24,8,31,57.2
Bangalore,2021-05-20,0,10,9,24,9,36,57.2
Bangalore,2021-05-21,0,11,7,25,11,40,57.2
Bangalore,2021-05-22,0,11,10,30,15,48,57.2
Bangalore,2021-05-23,0,10,12,36,17,58,57.2
Bangalore,2021-05-24,0,9,12,52,23,69,57.2
Bangalore,2021-05-25,0,10,12,46,21,65,57.2
Bangalore,2021-05-26,0,10,13,50,23,63,57.2
