city,date,co,no2,o3,pm10,pm25,aqi_daily,aqi_monthly
Chandigarh,2021-01-01,,,,242,212,264,162.8
Chandigarh,2021-01-02,1,19,10,184,136,202,162.8
Chandigarh,2021-01-03,1,19,12,107,80,153,162.8
Chandigarh,2021-01-04,1,17,15,91,60,132,162.8
Chandigarh,2021-01-05,0,12,12,52,32,90,162.8
Chandigarh,2021-01-06,0,10,14,51,37,96,162.8
Chandigarh,2021-01-07,1,8,15,70,49,120,162.8
Chandigarh,2021-01-08,0,10,18,88,61,136,162.8
Chandigarh,2021-01-09,0,8,16,108,76,150,162.8
Chandigarh,2021-01-10,0,5,16,94,65,138,162.8
Chandigarh,2021-01-11,0,5,18,80,57,129,162.8
Chandigarh,2021-01-12,1,6,17,92,65,137,162.8
Chandigarh,2021-01-13,1,8,17,137,100,177,162.8
Chandigarh,2021-01-14,1,11,18,165,121,190,162.8
Chandigarh,2021-01-15,1,12,22,175,131,196,162.8
Chandigarh,2021-01-16,1,6,15,130,98,159,162.8
Chandigarh,2021-01-17,1,10,20,140,103,164,162.8
Chandigarh,2021-01-18,1,10,19,136,95,165,162.8
Chandigarh,2021-01-19,0,9,22,120,83,161,162.8
Chandigarh,2021-01-20,1,8,22,152,114,184,162.8
Chandigarh,2021-01-21,1,10,18,154,113,182,162.8
Chandigarh,2021-01-22,1,11,9,168,116,182,162.8
Chandigarh,2021-01-23,1,18,10,150,106,177,162.8
Chandigarh,2021-01-24,1,9,12,175,130,195,162.8
Chandigarh,2021-01-25,1,8,17,146,105,177,162.8
Chandigarh,2021-01-26,1,8,16,115,82,161,162.8
Chandigarh,2021-01-27,0,10,15,110,76,155,162.8
Chandigarh,2021-01-28,1,9,12,156,110,181,162.8
Chandigarh,2021-01-29,1,8,19,141,100,174,162.8
Chandigarh,2021-01-30,0,8,22,119,80,159,162.8
Chandigarh,2021-01-31,1,10,14,126,86,162,162.8
Chandigarh,2021-02-01,1,10,16,123,85,163,140.5
Chandigarh,2021-02-02,1,10,14,133,89,166,140.5
Chandigarh,2021-02-03,1,11,16,141,95,168,140.5
Chandigarh,2021-02-04,0,10,12,40,24,77,140.5
Chandigarh,2021-02-05,0,8,10,43,27,79,140.5
Chandigarh,2021-02-06,0,8,9,73,45,113,140.5
Chandigarh,2021-02-07,0,8,12,84,55,128,140.5
Chandigarh,2021-02-08,1,11,9,112,79,157,140.5
Chandigarh,2021-02-09,1,12,7,159,106,174,140.5
Chandigarh,2021-02-10,1,12,12,127,81,158,140.5
Chandigarh,2021-02-11,1,10,11,117,78,156,140.5
Chandigarh,2021-02-12,1,11,8,142,105,171,140.5
Chandigarh,2021-02-13,1,11,6,149,108,179,140.5
Chandigarh,2021-02-14,1,11,11,131,96,170,140.5
Chandigarh,2021-02-15,1,12,10,121,82,162,140.5
Chandigarh,2021-02-16,0,12,8,100,66,146,140.5
Chandigarh,2021-02-17,0,12,8,71,41,109,140.5
Chandigarh,2021-02-18,0,13,12,93,59,141,140.5
Chandigarh,2021-02-19,1,11,11,119,79,159,140.5
Chandigarh,2021-02-20,0,9,12,128,90,165,140.5
Chandigarh,2021-02-21,0,8,14,132,95,161,140.5
Chandigarh,2021-02-22,0,8,13,128,90,168,140.5
Chandigarh,2021-02-23,1,10,13,131,86,165,140.5
Chandigarh,2021-02-24,0,10,12,95,51,128,140.5
Chandigarh,2021-02-25,0,10,10,79,34,100,140.5
Chandigarh,2021-02-26,0,10,12,77,36,102,140.5
Chandigarh,2021-02-27,0,11,12,48,25,79,140.5
Chandigarh,2021-02-28,0,13,12,66,31,91,140.5
Chandigarh,2021-03-01,0,12,14,73,36,103,99.6
Chandigarh,2021-03-02,0,8,16,72,36,103,99.6
Chandigarh,2021-03-03,0,10,16,65,33,97,99.6
Chandigarh,2021-03-04,0,16,12,85,42,116,99.6
Chandigarh,2021-03-05,0,10,15,83,40,111,99.6
Chandigarh,2021-03-06,0,9,18,75,38,107,99.6
Chandigarh,2021-03-07,0,10,12,67,29,90,99.6
Chandigarh,2021-03-08,0,12,18,50,23,74,99.6
Chandigarh,2021-03-09,0,14,20,69,32,95,99.6
Chandigarh,2021-03-10,0,16,14,98,41,120,99.6
Chandigarh,2021-03-11,0,14,12,72,23,88,99.6
Chandigarh,2021-03-12,0,14,11,64,22,82,99.6
Chandigarh,2021-03-13,0,11,10,51,22,76,99.6
Chandigarh,2021-03-14,0,10,14,66,32,96,99.6
Chandigarh,2021-03-15,0,8,14,69,30,97,99.6
Chandigarh,2021-03-16,0,8,7,96,34,113,99.6
Chandigarh,2021-03-17,0,8,11,107,33,119,99.6
Chandigarh,2021-03-18,0,10,10,103,32,113,99.6
Chandigarh,2021-03-19,0,12,12,102,42,123,99.6
Chandigarh,2021-03-20,0,9,16,79,33,105,99.6
Chandigarh,2021-03-21,0,14,11,84,37,112,99.6
Chandigarh,2021-03-22,0,13,7,44,19,68,99.6
Chandigarh,2021-03-23,0,12,5,49,20,74,99.6
Chandigarh,2021-03-24,1,7,12,39,25,77,99.6
Chandigarh,2021-03-25,0,6,17,41,22,71,99.6
Chandigarh,2021-03-26,0,6,16,54,32,95,99.6
Chandigarh,2021-03-27,0,12,14,63,39,109,99.6
Chandigarh,2021-03-28,1,16,13,77,45,123,99.6
Chandigarh,2021-03-29,1,15,19,92,53,140,99.6
Chandigarh,2021-03-30,0,11,15,73,42,116,99.6
Chandigarh,2021-03-31,0,6,19,50,25,76,99.6
Chandigarh,2021-04-01,0,10,15,62,35,97,86.1
Chandigarh,2021-04-02,1,14,13,55,33,93,86.1
Chandigarh,2021-04-03,0,13,15,48,28,85,86.1
Chandigarh,2021-04-04,0,11,18,65,45,119,86.1
Chandigarh,2021-04-05,0,13,11,60,37,105,86.1
Chandigarh,2021-04-06,1,22,10,101,56,144,86.1
Chandigarh,2021-04-07,0,9,15,103,36,135,86.1
Chandigarh,2021-04-08,0,10,16,42,30,88,86.1
Chandigarh,2021-04-09,0,10,17,39,27,80,86.1
Chandigarh,2021-04-10,0,15,15,39,27,80,86.1
Chandigarh,2021-04-11,0,12,16,50,32,94,86.1
Chandigarh,2021-04-12,0,10,16,51,34,97,86.1
Chandigarh,2021-04-13,1,8,16,47,28,85,86.1
Chandigarh,2021-04-14,0,10,15,78,32,111,86.1
Chandigarh,2021-04-15,0,11,16,60,31,91,86.1
Chandigarh,2021-04-16,0,14,14,86,37,113,86.1
Chandigarh,2021-04-17,0,8,17,37,20,66,86.1
Chandigarh,2021-04-18,0,8,15,30,14,54,86.1
Chandigarh,2021-04-19,0,9,15,30,15,54,86.1
Chandigarh,2021-04-20,0,14,10,40,21,67,86.1
Chandigarh,2021-04-21,0,6,14,21,12,46,86.1
Chandigarh,2021-04-22,0,11,14,33,20,67,86.1
Chandigarh,2021-04-23,0,11,11,17,9,37,86.1
Chandigarh,2021-04-24,0,9,14,24,13,52,86.1
Chandigarh,2021-04-25,0,12,15,32,16,58,86.1
Chandigarh,2021-04-26,0,13,16,43,27,82,86.1
Chandigarh,2021-04-27,0,17,12,46,33,92,86.1
Chandigarh,2021-04-28,0,14,17,53,33,94,86.1
Chandigarh,2021-04-29,0,17,14,53,35,97,86.1
Chandigarh,2021-04-30,0,28,18,65,40,99,86.1
Chandigarh,2021-05-01,0,19,18,171,71,94,85.7
Chandigarh,2021-05-02,0,16,20,92,52,89,85.7
Chandigarh,2021-05-03,1,22,22,108,56,97,85.7
Chandigarh,2021-05-04,0,17,20,95,52,88,85.7
Chandigarh,2021-05-05,0,18,16,57,32,71,85.7
Chandigarh,2021-05-06,0,20,16,91,40,78,85.7
Chandigarh,2021-05-07,0,16,17,42,24,63,85.7
Chandigarh,2021-05-08,0,18,18,49,25,63,85.7
Chandigarh,2021-05-09,0,15,21,64,34,71,85.7
Chandigarh,2021-05-10,0,20,17,60,29,70,85.7
Chandigarh,2021-05-11,0,20,20,81,44,83,85.7
Chandigarh,2021-05-12,0,19,17,78,42,82,85.7
Chandigarh,2021-05-13,0,20,14,58,29,62,85.7
Chandigarh,2021-05-14,0,19,17,40,20,51,85.7
Chandigarh,2021-05-15,0,21,19,96,41,83,85.7
Chandigarh,2021-05-16,0,16,19,88,41,81,85.7
Chandigarh,2021-05-17,0,18,18,77,39,77,85.7
Chandigarh,2021-05-18,1,20,16,95,43,83,85.7
Chandigarh,2021-05-19,0,20,12,91,40,79,85.7
Chandigarh,2021-05-20,0,16,15,85,43,94,85.7
Chandigarh,2021-05-21,0,20,15,51,26,81,85.7
Chandigarh,2021-05-22,0,16,18,54,27,83,85.7
Chandigarh,2021-05-23,0,14,19,123,46,126,85.7
Chandigarh,2021-05-24,0,14,19,77,32,94,85.7
Chandigarh,2021-05-25,0,14,21,67,28,83,85.7
Chandigarh,2021-05-26,0,19,21,73,35,100,85.7
Chandigarh,2021-05-27,0,22,22,80,37,104,85.7
Chandigarh,2021-05-28,0,18,28,92,45,121,85.7
Chandigarh,2021-05-29,0,14,20,76,39,107,85.7
Chandigarh,2021-05-30,0,14,18,67,31,98,85.7
Chandigarh,2021-05-31,0,16,19,75,36,101,85.7
Chandigarh,2021-06-01,0,14,18,38,23,73,99.8
Chandigarh,2021-06-02,0,17,18,58,29,86,99.8
Chandigarh,2021-06-03,0,16,16,59,32,94,99.8
Chandigarh,2021-06-04,0,18,16,76,39,106,99.8
Chandigarh,2021-06-05,0,19,16,64,33,95,99.8
Chandigarh,2021-06-06,0,12,22,70,34,99,99.8
Chandigarh,2021-06-07,0,18,22,75,36,98,99.8
Chandigarh,2021-06-08,0,18,19,148,62,138,99.8
Chandigarh,2021-06-09,0,20,19,143,64,139,99.8
Chandigarh,2021-06-10,0,14,18,107,53,136,99.8
Chandigarh,2021-06-11,0,16,20,69,41,111,99.8
Chandigarh,2021-06-12,0,16,24,59,25,78,99.8
Chandigarh,2021-06-13,0,12,20,29,13,48,99.8
Chandigarh,2021-06-14,0,14,24,53,23,74,99.8
Chandigarh,2021-06-15,0,15,12,85,35,101,99.8
Chandigarh,2021-06-16,0,14,2,62,32,94,99.8
Chandigarh,2021-06-17,0,18,14,63,29,86,99.8
Chandigarh,2021-06-18,0,15,18,55,23,73,99.8
Chandigarh,2021-06-19,0,15,11,38,21,68,99.8
Chandigarh,2021-06-20,0,11,10,36,19,63,99.8
Chandigarh,2021-06-21,0,12,12,48,23,75,99.8
Chandigarh,2021-06-22,0,14,12,92,34,98,99.8
Chandigarh,2021-06-23,0,20,12,106,47,121,99.8
Chandigarh,2021-06-24,0,14,12,77,43,115,99.8
Chandigarh,2021-06-25,0,14,26,93,42,113,99.8
Chandigarh,2021-06-26,0,17,41,100,52,120,99.8
Chandigarh,2021-06-27,0,14,24,76,37,104,99.8
Chandigarh,2021-06-28,0,15,30,102,47,124,99.8
Chandigarh,2021-06-29,0,14,32,148,59,137,99.8
Chandigarh,2021-06-30,1,14,26,133,52,128,99.8
Chandigarh,2021-07-01,1,18,18,171,61,132,92.3
Chandigarh,2021-07-02,1,21,18,165,67,144,92.3
Chandigarh,2021-07-03,0,15,23,99,39,104,92.3
Chandigarh,2021-07-04,0,17,20,108,48,122,92.3
Chandigarh,2021-07-05,1,14,20,131,56,130,92.3
Chandigarh,2021-07-06,0,12,21,146,80,153,92.3
Chandigarh,2021-07-07,0,14,24,144,79,148,92.3
Chandigarh,2021-07-08,0,15,22,108,61,133,92.3
Chandigarh,2021-07-09,0,14,24,69,39,107,92.3
Chandigarh,2021-07-10,1,18,14,74,43,117,92.3
Chandigarh,2021-07-11,0,13,10,47,27,82,92.3
Chandigarh,2021-07-12,0,14,10,36,20,66,92.3
Chandigarh,2021-07-13,0,15,12,33,17,57,92.3
Chandigarh,2021-07-14,0,16,6,40,20,65,92.3
Chandigarh,2021-07-15,1,18,6,55,29,89,92.3
Chandigarh,2021-07-16,0,14,11,52,27,83,92.3
Chandigarh,2021-07-17,1,16,14,79,43,116,92.3
Chandigarh,2021-07-18,0,14,10,77,43,118,92.3
Chandigarh,2021-07-19,0,14,9,26,14,49,92.3
Chandigarh,2021-07-20,0,17,9,37,21,70,92.3
Chandigarh,2021-07-21,0,14,10,38,19,64,92.3
Chandigarh,2021-07-22,1,18,9,44,22,69,92.3
Chandigarh,2021-07-23,1,16,7,39,20,66,92.3
Chandigarh,2021-07-24,0,15,10,44,23,75,92.3
Chandigarh,2021-07-25,1,12,8,51,27,83,92.3
Chandigarh,2021-07-26,0,12,6,38,21,70,92.3
Chandigarh,2021-07-27,1,16,12,62,33,96,92.3
Chandigarh,2021-07-28,1,14,6,37,19,60,92.3
Chandigarh,2021-07-29,1,16,6,46,26,80,92.3
Chandigarh,2021-07-30,0,14,7,37,20,64,92.3
Chandigarh,2021-07-31,0,14,6,30,15,50,92.3
Chandigarh,2021-08-01,0,14,6,46,23,73,105.1
Chandigarh,2021-08-02,1,16,5,56,28,85,105.1
Chandigarh,2021-08-03,1,18,4,52,27,79,105.1
Chandigarh,2021-08-04,1,21,12,58,32,90,105.1
Chandigarh,2021-08-05,1,20,19,66,35,98,105.1
Chandigarh,2021-08-06,1,20,14,66,35,93,105.1
Chandigarh,2021-08-07,1,25,10,66,36,92,105.1
