city,date,co,no2,o3,pm10,pm25,aqi_daily,aqi_monthly
Chennai,2021-01-01,1,4,20,81,48,130,106.4
Chennai,2021-01-02,1,4,7,84,50,124,106.4
Chennai,2021-01-03,0,4,8,69,39,107,106.4
Chennai,2021-01-04,0,4,8,64,36,100,106.4
Chennai,2021-01-05,1,5,8,46,24,73,106.4
Chennai,2021-01-06,1,4,8,36,22,65,106.4
Chennai,2021-01-07,1,5,8,37,27,77,106.4
Chennai,2021-01-08,0,4,11,33,32,76,106.4
Chennai,2021-01-09,0,4,7,46,44,103,106.4
Chennai,2021-01-10,0,4,6,58,52,119,106.4
Chennai,2021-01-11,1,4,5,55,44,111,106.4
Chennai,2021-01-12,0,5,6,55,40,110,106.4
Chennai,2021-01-13,1,6,5,91,66,137,106.4
Chennai,2021-01-14,0,4,9,71,52,125,106.4
Chennai,2021-01-15,1,5,8,66,51,125,106.4
Chennai,2021-01-16,0,4,10,58,42,110,106.4
Chennai,2021-01-17,0,4,7,41,31,89,106.4
Chennai,2021-01-18,0,5,7,45,37,99,106.4
Chennai,2021-01-19,1,5,8,57,48,123,106.4
Chennai,2021-01-20,1,6,8,65,54,130,106.4
Chennai,2021-01-21,0,5,8,66,44,109,106.4
Chennai,2021-01-22,0,4,8,43,26,78,106.4
Chennai,2021-01-23,0,5,8,48,28,82,106.4
Chennai,2021-01-24,1,5,4,45,33,94,106.4
Chennai,2021-01-25,1,5,6,47,35,97,106.4
Chennai,2021-01-26,0,5,7,51,36,100,106.4
Chennai,2021-01-27,1,6,9,66,53,128,106.4
Chennai,2021-01-28,1,6,10,82,65,140,106.4
Chennai,2021-01-29,0,5,10,72,53,126,106.4
Chennai,2021-01-30,0,5,10,62,46,113,106.4
Chennai,2021-01-31,0,5,8,51,40,98,106.4
Chennai,2021-02-01,0,6,9,51,37,98,101.6
Chennai,2021-02-02,1,5,11,67,52,127,101.6
Chennai,2021-02-03,1,6,9,53,40,110,101.6
Chennai,2021-02-04,1,8,9,56,40,104,101.6
Chennai,2021-02-05,1,9,10,62,51,117,101.6
Chennai,2021-02-06,0,6,11,64,49,118,101.6
Chennai,2021-02-07,0,6,10,60,55,101,101.6
Chennai,2021-02-08,1,4,9,54,45,100,101.6
Chennai,2021-02-09,1,4,12,58,46,123,101.6
Chennai,2021-02-10,0,4,12,56,43,116,101.6
Chennai,2021-02-11,0,4,10,52,44,106,101.6
Chennai,2021-02-12,1,5,10,41,32,90,101.6
Chennai,2021-02-13,0,5,9,41,33,92,101.6
Chennai,2021-02-14,1,5,8,39,30,85,101.6
Chennai,2021-02-15,0,5,9,42,30,86,101.6
Chennai,2021-02-16,0,5,10,50,38,104,101.6
Chennai,2021-02-17,0,4,12,61,46,116,101.6
Chennai,2021-02-18,0,5,10,58,46,123,101.6
Chennai,2021-02-19,0,6,12,57,43,111,101.6
Chennai,2021-02-20,0,8,14,28,20,62,101.6
Chennai,2021-02-21,1,6,14,30,18,58,101.6
Chennai,2021-02-22,0,7,12,42,29,85,101.6
Chennai,2021-02-23,1,10,12,53,63,120,101.6
Chennai,2021-02-24,0,9,10,61,75,125,101.6
Chennai,2021-02-25,0,5,11,55,37,98,101.6
Chennai,2021-02-26,0,5,14,50,38,106,101.6
Chennai,2021-02-27,0,5,17,42,31,88,101.6
Chennai,2021-02-28,0,3,15,34,25,76,101.6
Chennai,2021-03-01,0,5,16,38,27,81,98.4
Chennai,2021-03-02,0,5,20,50,37,104,98.4
Chennai,2021-03-03,0,6,15,65,48,122,98.4
Chennai,2021-03-04,0,5,14,48,40,102,98.4
Chennai,2021-03-05,0,6,13,51,37,101,98.4
Chennai,2021-03-06,1,5,13,45,45,102,98.4
Chennai,2021-03-07,0,5,16,40,46,101,98.4
Chennai,2021-03-08,1,5,12,27,25,72,98.4
Chennai,2021-03-09,1,5,17,19,18,56,98.4
Chennai,2021-03-10,0,5,15,23,19,60,98.4
Chennai,2021-03-11,0,5,12,25,19,63,98.4
Chennai,2021-03-12,0,5,11,31,23,74,98.4
Chennai,2021-03-13,0,5,10,34,32,85,98.4
Chennai,2021-03-14,1,5,15,41,30,85,98.4
Chennai,2021-03-15,0,5,14,42,26,80,98.4
Chennai,2021-03-16,1,5,11,92,27,85,98.4
Chennai,2021-03-17,0,6,11,62,32,93,98.4
Chennai,2021-03-18,0,5,15,79,41,111,98.4
Chennai,2021-03-19,1,4,14,108,50,126,98.4
Chennai,2021-03-20,0,3,13,96,86,157,98.4
Chennai,2021-03-21,0,3,13,80,44,116,98.4
Chennai,2021-03-22,0,4,12,75,43,115,98.4
Chennai,2021-03-23,1,3,12,97,55,136,98.4
Chennai,2021-03-24,1,3,20,105,85,159,98.4
Chennai,2021-03-25,0,3,14,98,66,143,98.4
Chennai,2021-03-26,1,3,13,87,45,118,98.4
Chennai,2021-03-27,1,4,12,66,64,122,98.4
Chennai,2021-03-28,0,4,18,52,46,77,98.4
Chennai,2021-03-29,1,4,16,40,20,66,98.4
Chennai,2021-03-30,1,6,20,42,23,72,98.4
Chennai,2021-03-31,0,5,14,50,22,67,98.4
Chennai,2021-04-01,0,5,16,56,26,79,79.6
Chennai,2021-04-02,0,5,17,80,41,112,79.6
Chennai,2021-04-03,1,5,15,74,34,97,79.6
Chennai,2021-04-04,1,4,14,64,49,100,79.6
Chennai,2021-04-05,0,4,21,62,37,93,79.6
Chennai,2021-04-06,1,4,25,56,24,84,79.6
Chennai,2021-04-07,0,5,26,70,27,93,79.6
Chennai,2021-04-08,1,4,24,74,30,99,79.6
Chennai,2021-04-09,1,4,24,62,29,90,79.6
Chennai,2021-04-10,0,4,21,58,29,90,79.6
Chennai,2021-04-11,0,4,21,51,28,83,79.6
Chennai,2021-04-12,0,4,18,31,16,58,79.6
Chennai,2021-04-13,0,4,15,56,22,75,79.6
Chennai,2021-04-14,0,4,14,66,19,64,79.6
Chennai,2021-04-15,1,4,14,20,13,46,79.6
Chennai,2021-04-16,0,4,13,33,36,83,79.6
Chennai,2021-04-17,1,5,12,42,24,77,79.6
Chennai,2021-04-18,1,5,13,44,14,58,79.6
