city,date,co,no2,o3,pm10,pm25,aqi_daily,aqi_monthly
Guwahati,2021-01-01,2,7,8,263,170,238,197.9
Guwahati,2021-01-02,2,6,8,176,108,160,197.9
Guwahati,2021-01-03,2,6,8,193,122,171,197.9
Guwahati,2021-01-04,2,6,8,186,106,162,197.9
Guwahati,2021-01-05,2,6,8,200,114,170,197.9
Guwahati,2021-01-06,1,6,9,182,106,161,197.9
Guwahati,2021-01-07,2,8,9,188,112,164,197.9
Guwahati,2021-01-08,2,6,10,186,122,184,197.9
Guwahati,2021-01-09,2,6,10,207,138,200,197.9
Guwahati,2021-01-10,2,6,10,214,144,200,197.9
Guwahati,2021-01-11,1,6,8,182,128,186,197.9
Guwahati,2021-01-12,1,4,8,199,145,206,197.9
Guwahati,2021-01-13,2,4,8,237,181,234,197.9
Guwahati,2021-01-14,2,5,8,283,220,274,197.9
Guwahati,2021-01-15,1,4,8,204,152,216,197.9
Guwahati,2021-01-16,2,6,8,239,172,228,197.9
Guwahati,2021-01-17,1,5,8,210,154,211,197.9
Guwahati,2021-01-18,2,6,8,206,142,206,197.9
Guwahati,2021-01-19,1,6,9,172,118,181,197.9
Guwahati,2021-01-20,1,4,9,94,75,150,197.9
Guwahati,2021-01-21,1,4,8,100,78,145,197.9
Guwahati,2021-01-22,1,5,8,104,77,154,197.9
Guwahati,2021-01-23,3,7,10,368,231,317,197.9
Guwahati,2021-01-24,1,6,8,239,160,238,197.9
Guwahati,2021-01-25,1,6,8,196,130,194,197.9
Guwahati,2021-01-26,1,6,8,193,130,194,197.9
Guwahati,2021-01-27,1,6,8,150,105,170,197.9
Guwahati,2021-01-28,1,6,8,182,120,187,197.9
Guwahati,2021-01-29,2,8,8,248,144,229,197.9
Guwahati,2021-01-30,1,6,10,192,114,181,197.9
Guwahati,2021-01-31,1,6,11,229,167,223,197.9
Guwahati,2021-02-01,1,7,10,224,150,215,206.0
Guwahati,2021-02-02,2,9,9,219,138,206,206.0
Guwahati,2021-02-03,1,10,8,205,128,198,206.0
