city,date,co,no2,o3,pm10,pm25,aqi_daily,aqi_monthly
Indore,2021-01-02,,10,36,139,91,164,143.7
Indore,2021-01-03,,12,35,148,101,169,143.7
Indore,2021-01-04,,13,23,142,98,168,143.7
Indore,2021-01-05,,11,21,102,64,141,143.7
Indore,2021-01-06,,16,20,149,94,166,143.7
Indore,2021-01-07,,11,18,137,92,164,143.7
Indore,2021-01-08,,10,15,123,88,154,143.7
Indore,2021-01-09,,11,16,90,63,141,143.7
Indore,2021-01-10,,9,18,108,73,153,143.7
Indore,2021-01-11,,10,17,120,78,157,143.7
Indore,2021-01-12,,11,18,119,72,150,143.7
Indore,2021-01-13,,14,21,99,52,123,143.7
Indore,2021-01-14,,13,22,79,35,97,143.7
Indore,2021-01-15,,13,23,91,39,103,143.7
Indore,2021-01-16,,13,23,93,41,109,143.7
Indore,2021-01-17,,10,28,97,48,126,143.7
Indore,2021-01-18,,13,26,122,60,139,143.7
Indore,2021-01-19,,15,23,167,106,175,143.7
Indore,2021-01-20,,15,25,142,90,163,143.7
Indore,2021-01-21,,14,22,104,56,121,143.7
Indore,2021-01-22,,18,21,93,40,112,143.7
Indore,2021-01-23,,33,19,204,89,159,143.7
Indore,2021-01-24,,26,23,208,78,158,143.7
Indore,2021-01-25,,11,31,189,83,160,143.7
Indore,2021-01-26,,13,24,139,73,154,143.7
Indore,2021-01-27,,11,25,123,72,153,143.7
Indore,2021-01-28,,12,26,118,65,148,143.7
Indore,2021-01-29,,14,27,120,65,142,143.7
Indore,2021-01-30,,15,25,109,55,123,143.7
Indore,2021-01-31,,17,26,107,53,119,143.7
Indore,2021-02-01,,20,27,108,49,116,115.9
Indore,2021-02-02,,28,26,119,52,119,115.9
Indore,2021-02-03,,33,24,144,61,130,115.9
Indore,2021-02-04,,30,23,162,71,149,115.9
Indore,2021-02-05,,21,22,122,51,126,115.9
Indore,2021-02-06,,20,24,105,48,118,115.9
Indore,2021-02-07,,22,24,97,43,106,115.9
Indore,2021-02-08,,23,22,107,48,114,115.9
Indore,2021-02-09,,25,24,133,60,125,115.9
Indore,2021-02-10,,31,22,139,51,113,115.9
Indore,2021-02-11,,27,24,143,65,134,115.9
Indore,2021-02-12,,24,26,101,37,102,115.9
Indore,2021-02-13,,25,29,118,51,122,115.9
Indore,2021-02-14,,27,32,132,58,134,115.9
Indore,2021-02-15,,27,31,136,50,128,115.9
Indore,2021-02-16,,23,29,120,41,89,115.9
Indore,2021-02-17,,26,25,124,43,86,115.9
Indore,2021-02-18,,24,25,119,46,90,115.9
Indore,2021-02-19,,25,24,112,42,79,115.9
Indore,2021-02-20,,26,25,125,45,87,115.9
Indore,2021-02-21,,24,29,122,49,93,115.9
Indore,2021-02-22,,29,29,116,43,89,115.9
Indore,2021-02-23,,33,23,190,76,168,115.9
Indore,2021-02-24,,23,30,164,60,142,115.9
Indore,2021-02-25,,20,30,164,57,137,115.9
Indore,2021-02-26,,18,22,149,43,119,115.9
Indore,2021-02-27,,19,17,162,44,123,115.9
Indore,2021-02-28,,17,19,137,39,106,115.9
Indore,2021-03-01,,17,19,153,37,111,120.1
Indore,2021-03-02,,17,23,135,37,103,120.1
Indore,2021-03-03,,18,29,135,38,103,120.1
Indore,2021-03-04,,18,33,134,38,102,120.1
Indore,2021-03-05,,15,27,120,30,90,120.1
Indore,2021-03-06,,21,22,132,39,102,120.1
Indore,2021-03-07,,20,29,188,61,142,120.1
Indore,2021-03-08,,16,24,124,39,109,120.1
Indore,2021-03-09,,14,22,115,30,91,120.1
Indore,2021-03-10,,18,19,120,35,98,120.1
Indore,2021-03-11,,17,23,135,42,105,120.1
Indore,2021-03-12,,13,26,134,39,125,120.1
Indore,2021-03-13,,11,25,70,29,84,120.1
Indore,2021-03-14,,12,28,88,33,92,120.1
Indore,2021-03-15,,20,23,141,55,127,120.1
Indore,2021-03-16,,25,14,176,56,147,120.1
Indore,2021-03-17,,23,16,158,55,137,120.1
Indore,2021-03-18,,24,16,138,46,123,120.1
Indore,2021-03-19,,18,19,115,48,130,120.1
Indore,2021-03-20,,17,22,102,40,112,120.1
Indore,2021-03-21,,9,23,62,27,82,120.1
Indore,2021-03-22,,17,27,134,53,119,120.1
Indore,2021-03-23,,15,23,127,36,105,120.1
Indore,2021-03-24,,19,20,153,42,122,120.1
Indore,2021-03-25,,20,19,182,47,128,120.1
Indore,2021-03-26,,20,19,137,45,114,120.1
Indore,2021-03-27,,33,17,254,83,177,120.1
Indore,2021-03-28,,31,14,251,101,185,120.1
Indore,2021-03-29,,26,21,217,123,179,120.1
Indore,2021-03-30,,23,19,158,51,132,120.1
Indore,2021-03-31,,17,21,206,60,148,120.1
Indore,2021-04-01,,23,22,232,70,159,126.2
Indore,2021-04-02,,25,22,224,107,177,126.2
Indore,2021-04-03,,27,18,241,132,193,126.2
Indore,2021-04-04,,28,19,227,119,178,126.2
Indore,2021-04-05,,23,19,194,90,156,126.2
Indore,2021-04-06,,21,21,163,64,141,126.2
Indore,2021-04-07,,22,18,135,50,125,126.2
Indore,2021-04-08,,19,21,287,81,204,126.2
Indore,2021-04-09,,26,20,228,72,146,126.2
Indore,2021-04-10,,24,17,210,83,152,126.2
Indore,2021-04-11,,13,22,159,69,135,126.2
Indore,2021-04-12,,13,22,129,72,150,126.2
Indore,2021-04-13,,15,23,162,78,157,126.2
Indore,2021-04-14,,10,25,148,50,136,126.2
Indore,2021-04-15,,12,24,113,44,111,126.2
Indore,2021-04-16,,9,22,123,50,128,126.2
Indore,2021-04-17,,8,28,126,29,93,126.2
Indore,2021-04-18,,11,30,143,32,99,126.2
Indore,2021-04-19,,10,26,166,45,114,126.2
Indore,2021-04-20,,9,29,104,31,90,126.2
Indore,2021-04-21,,9,25,147,32,106,126.2
Indore,2021-04-22,,10,28,126,31,92,126.2
Indore,2021-04-23,,11,27,131,39,108,126.2
Indore,2021-04-24,,9,23,112,28,87,126.2
Indore,2021-04-25,,11,20,81,24,76,126.2
Indore,2021-04-26,,12,21,97,30,89,126.2
Indore,2021-04-27,,16,24,124,44,111,126.2
Indore,2021-04-28,,13,24,143,35,105,126.2
Indore,2021-04-29,,10,22,126,34,95,126.2
Indore,2021-04-30,,12,30,129,34,72,126.2
Indore,2021-05-01,,18,36,111,53,35,67.8
Indore,2021-05-02,,16,38,86,47,41,67.8
Indore,2021-05-03,,17,38,77,44,42,67.8
Indore,2021-05-04,,17,27,94,53,39,67.8
Indore,2021-05-05,,16,28,84,40,41,67.8
Indore,2021-05-06,,16,31,100,45,38,67.8
Indore,2021-05-07,,15,30,111,45,36,67.8
Indore,2021-05-08,,15,31,114,45,35,67.8
Indore,2021-05-09,,15,33,125,55,33,67.8
Indore,2021-05-10,,16,28,98,46,38,67.8
Indore,2021-05-11,,15,29,78,39,43,67.8
Indore,2021-05-12,,17,25,91,44,39,67.8
Indore,2021-05-13,,16,28,90,39,40,67.8
Indore,2021-05-14,,16,31,106,45,36,67.8
Indore,2021-05-15,,15,38,122,46,34,67.8
Indore,2021-05-16,,14,31,89,34,41,67.8
Indore,2021-05-17,,14,24,64,28,50,67.8
Indore,2021-05-18,,15,20,62,29,51,67.8
Indore,2021-05-19,,16,26,68,27,48,67.8
Indore,2021-05-20,,15,44,61,28,71,67.8
Indore,2021-05-21,,16,39,119,45,123,67.8
Indore,2021-05-22,,15,37,87,42,118,67.8
Indore,2021-05-23,,17,33,80,41,115,67.8
Indore,2021-05-24,,18,35,89,42,116,67.8
Indore,2021-05-25,,22,32,102,46,125,67.8
Indore,2021-05-26,,19,31,86,42,116,67.8
Indore,2021-05-27,,22,31,82,43,119,67.8
Indore,2021-05-28,,20,36,78,37,106,67.8
Indore,2021-05-29,,24,29,76,41,116,67.8
Indore,2021-05-30,,24,29,72,36,104,67.8
Indore,2021-05-31,,24,28,79,41,114,67.8
Indore,2021-06-01,,22,24,81,45,121,110.4
Indore,2021-06-02,,22,26,78,37,106,110.4
Indore,2021-06-03,,23,36,62,32,93,110.4
Indore,2021-06-04,,21,33,70,35,100,110.4
Indore,2021-06-05,,21,30,71,38,107,110.4
Indore,2021-06-06,,18,24,62,41,115,110.4
Indore,2021-06-07,,22,26,67,37,105,110.4
Indore,2021-06-08,,25,23,75,39,109,110.4
Indore,2021-06-09,,26,25,72,36,104,110.4
Indore,2021-06-10,,23,23,74,41,113,110.4
Indore,2021-06-11,,23,22,75,31,92,110.4
Indore,2021-06-12,,24,25,73,33,95,110.4
Indore,2021-06-13,,22,24,64,34,98,110.4
Indore,2021-06-14,,24,20,70,35,101,110.4
Indore,2021-06-15,,23,23,75,35,101,110.4
Indore,2021-06-16,,23,21,80,34,99,110.4
Indore,2021-06-17,,23,24,78,36,102,110.4
Indore,2021-06-18,,22,21,86,41,113,110.4
Indore,2021-06-19,,22,25,81,41,115,110.4
Indore,2021-06-20,,21,23,69,39,111,110.4
Indore,2021-06-21,,22,21,84,52,135,110.4
Indore,2021-06-22,,21,20,94,55,141,110.4
Indore,2021-06-23,,22,19,99,55,142,110.4
Indore,2021-06-24,,21,20,79,46,126,110.4
Indore,2021-06-25,,21,22,76,39,110,110.4
Indore,2021-06-26,,17,33,63,39,110,110.4
Indore,2021-06-27,,21,24,69,41,114,110.4
Indore,2021-06-28,,22,31,71,40,112,110.4
Indore,2021-06-29,,20,33,67,34,97,110.4
Indore,2021-06-30,,21,26,83,46,125,110.4
Indore,2021-07-01,,20,19,70,34,98,107.3
Indore,2021-07-02,,20,19,78,33,96,107.3
Indore,2021-07-03,,20,18,83,34,97,107.3
Indore,2021-07-04,,21,20,81,36,102,107.3
Indore,2021-07-05,,20,19,85,45,118,107.3
Indore,2021-07-06,,18,20,88,45,117,107.3
Indore,2021-07-07,,20,24,96,45,124,107.3
Indore,2021-07-08,,20,22,88,44,119,107.3
Indore,2021-07-09,,20,18,91,41,115,107.3
Indore,2021-07-10,,20,20,85,42,116,107.3
Indore,2021-07-11,,19,24,59,36,103,107.3
Indore,2021-07-12,,20,21,64,40,110,107.3
Indore,2021-07-13,,17,28,54,35,100,107.3
Indore,2021-07-14,,20,17,66,33,96,107.3
Indore,2021-07-15,,19,18,64,34,97,107.3
Indore,2021-07-16,,19,18,65,31,91,107.3
Indore,2021-07-17,,19,20,62,22,71,107.3
Indore,2021-07-18,,20,17,57,27,83,107.3
Indore,2021-07-19,,20,14,65,34,99,107.3
Indore,2021-07-20,,18,15,64,35,101,107.3
Indore,2021-07-21,,18,12,69,37,106,107.3
Indore,2021-07-22,,18,14,98,51,130,107.3
Indore,2021-07-23,,20,13,86,49,132,107.3
Indore,2021-07-24,,21,16,91,51,139,107.3
Indore,2021-07-25,,20,18,58,37,103,107.3
Indore,2021-07-26,,20,17,57,31,90,107.3
Indore,2021-07-27,,19,15,72,41,115,107.3
Indore,2021-07-28,,20,13,71,39,110,107.3
Indore,2021-07-29,,19,12,77,41,114,107.3
Indore,2021-07-30,,20,12,77,41,114,107.3
Indore,2021-07-31,,21,12,75,43,119,107.3
Indore,2021-08-01,,19,12,68,39,109,124.7
Indore,2021-08-02,,20,12,69,45,124,124.7
Indore,2021-08-03,,19,13,66,39,111,124.7
Indore,2021-08-04,,17,17,58,35,100,124.7
Indore,2021-08-05,,16,19,59,36,104,124.7
Indore,2021-08-06,,17,18,70,45,122,124.7
Indore,2021-08-07,,20,20,71,43,119,124.7
Indore,2021-08-08,,19,17,75,48,130,124.7
Indore,2021-08-09,,21,14,85,56,144,124.7
Indore,2021-08-10,,21,14,85,50,133,124.7
