city,date,co,no2,o3,pm10,pm25,aqi_daily,aqi_monthly
Mumbai,2021-01-02,1,18,15,197,116,186,168.3
Mumbai,2021-01-03,1,19,17,180,183,176,168.3
Mumbai,2021-01-04,1,21,17,200,217,196,168.3
Mumbai,2021-01-05,1,17,22,198,116,192,168.3
Mumbai,2021-01-06,1,19,11,216,125,194,168.3
Mumbai,2021-01-07,1,22,12,241,162,215,168.3
Mumbai,2021-01-08,1,17,6,295,187,265,168.3
Mumbai,2021-01-09,1,15,8,199,136,202,168.3
Mumbai,2021-01-10,1,14,11,162,158,172,168.3
Mumbai,2021-01-11,1,14,12,152,129,152,168.3
Mumbai,2021-01-12,1,16,12,167,92,163,168.3
Mumbai,2021-01-13,1,17,13,155,86,160,168.3
Mumbai,2021-01-14,1,21,15,154,85,158,168.3
Mumbai,2021-01-15,1,18,16,166,59,152,168.3
Mumbai,2021-01-16,1,23,16,128,74,145,168.3
Mumbai,2021-01-17,1,23,16,133,62,135,168.3
Mumbai,2021-01-18,0,18,17,117,39,116,168.3
Mumbai,2021-01-19,1,24,19,145,72,143,168.3
Mumbai,2021-01-20,1,27,20,148,76,151,168.3
Mumbai,2021-01-21,1,24,20,150,81,154,168.3
Mumbai,2021-01-22,1,22,14,172,86,161,168.3
Mumbai,2021-01-23,1,34,8,134,64,136,168.3
Mumbai,2021-01-24,0,30,17,168,65,141,168.3
Mumbai,2021-01-25,1,30,17,248,131,198,168.3
Mumbai,2021-01-26,1,28,19,277,177,179,168.3
Mumbai,2021-01-27,1,32,15,180,91,154,168.3
Mumbai,2021-01-28,1,30,15,212,101,186,168.3
Mumbai,2021-01-29,1,33,13,174,86,169,168.3
Mumbai,2021-01-30,1,30,13,155,73,150,168.3
Mumbai,2021-01-31,1,26,14,155,66,149,168.3
Mumbai,2021-02-01,1,25,13,151,87,158,140.4
Mumbai,2021-02-02,1,19,12,137,69,142,140.4
Mumbai,2021-02-03,1,24,10,151,69,147,140.4
Mumbai,2021-02-04,1,22,15,154,118,161,140.4
Mumbai,2021-02-05,1,20,12,134,54,138,140.4
Mumbai,2021-02-06,1,24,12,150,71,148,140.4
Mumbai,2021-02-07,1,19,16,108,53,124,140.4
Mumbai,2021-02-08,1,22,15,124,56,135,140.4
Mumbai,2021-02-09,1,32,10,134,54,133,140.4
Mumbai,2021-02-10,1,24,15,191,88,176,140.4
Mumbai,2021-02-11,1,22,13,201,107,184,140.4
Mumbai,2021-02-12,1,22,13,183,87,166,140.4
Mumbai,2021-02-13,0,18,16,141,82,153,140.4
Mumbai,2021-02-14,0,15,21,119,166,148,140.4
Mumbai,2021-02-15,0,14,20,107,218,123,140.4
Mumbai,2021-02-16,0,12,14,81,118,93,140.4
Mumbai,2021-02-17,0,16,10,98,40,109,140.4
Mumbai,2021-02-18,1,21,12,185,92,169,140.4
Mumbai,2021-02-19,0,20,12,90,42,112,140.4
Mumbai,2021-02-20,0,17,8,106,46,115,140.4
Mumbai,2021-02-21,0,16,13,99,45,118,140.4
Mumbai,2021-02-22,1,21,14,120,51,128,140.4
Mumbai,2021-02-23,1,25,14,172,85,162,140.4
Mumbai,2021-02-24,1,24,11,185,114,181,140.4
Mumbai,2021-02-25,1,19,8,149,68,145,140.4
Mumbai,2021-02-26,0,18,8,102,48,117,140.4
Mumbai,2021-02-27,0,18,9,112,38,115,140.4
Mumbai,2021-02-28,1,19,11,108,54,132,140.4
Mumbai,2021-03-01,1,22,9,137,65,147,139.4
Mumbai,2021-03-02,1,20,9,152,61,144,139.4
Mumbai,2021-03-03,1,26,14,169,64,162,139.4
Mumbai,2021-03-04,1,28,10,162,73,157,139.4
Mumbai,2021-03-05,1,25,9,163,79,160,139.4
Mumbai,2021-03-06,1,16,7,121,64,138,139.4
Mumbai,2021-03-07,1,13,6,115,42,111,139.4
Mumbai,2021-03-08,1,15,5,117,45,111,139.4
Mumbai,2021-03-09,1,21,12,131,64,126,139.4
Mumbai,2021-03-10,1,20,11,146,64,143,139.4
Mumbai,2021-03-11,0,12,8,104,41,110,139.4
Mumbai,2021-03-12,0,13,7,100,38,100,139.4
Mumbai,2021-03-13,1,19,18,186,69,164,139.4
Mumbai,2021-03-14,1,23,16,256,60,144,139.4
Mumbai,2021-03-15,1,20,14,257,62,147,139.4
Mumbai,2021-03-16,1,18,11,243,56,137,139.4
Mumbai,2021-03-17,1,18,14,258,63,146,139.4
Mumbai,2021-03-18,1,16,11,215,53,137,139.4
Mumbai,2021-03-19,0,12,15,186,73,160,139.4
Mumbai,2021-03-20,0,9,7,178,49,134,139.4
Mumbai,2021-03-21,0,11,10,149,53,133,139.4
Mumbai,2021-03-22,0,12,9,144,57,137,139.4
Mumbai,2021-03-23,0,15,12,159,69,155,139.4
Mumbai,2021-03-24,1,18,17,176,79,163,139.4
Mumbai,2021-03-25,1,16,14,156,80,159,139.4
Mumbai,2021-03-26,1,19,17,166,72,157,139.4
Mumbai,2021-03-27,1,20,18,178,71,162,139.4
Mumbai,2021-03-28,1,17,10,157,67,153,139.4
Mumbai,2021-03-29,0,8,9,111,160,140,139.4
Mumbai,2021-03-30,0,7,7,75,85,81,139.4
Mumbai,2021-03-31,0,6,4,92,69,103,139.4
Mumbai,2021-04-01,0,6,5,167,52,133,115.8
Mumbai,2021-04-02,0,6,7,167,142,135,115.8
Mumbai,2021-04-03,0,7,7,125,91,113,115.8
Mumbai,2021-04-04,0,6,19,98,124,104,115.8
Mumbai,2021-04-05,0,6,24,110,78,111,115.8
Mumbai,2021-04-06,0,10,9,207,47,152,115.8
Mumbai,2021-04-07,0,9,8,192,47,157,115.8
Mumbai,2021-04-08,0,7,7,155,63,138,115.8
Mumbai,2021-04-09,0,8,8,211,39,163,115.8
Mumbai,2021-04-10,0,7,9,227,35,146,115.8
Mumbai,2021-04-11,0,6,9,190,32,132,115.8
Mumbai,2021-04-12,0,8,8,204,47,143,115.8
Mumbai,2021-04-13,0,8,11,204,37,157,115.8
Mumbai,2021-04-14,0,7,13,140,78,97,115.8
Mumbai,2021-04-15,0,9,10,82,107,115,115.8
Mumbai,2021-04-16,0,6,7,77,96,96,115.8
Mumbai,2021-04-17,0,6,7,75,101,106,115.8
Mumbai,2021-04-18,0,6,9,93,114,147,115.8
Mumbai,2021-04-19,0,6,7,76,123,113,115.8
Mumbai,2021-04-20,0,5,5,60,113,105,115.8
Mumbai,2021-04-21,0,6,4,66,110,87,115.8
Mumbai,2021-04-22,0,6,6,75,118,94,115.8
Mumbai,2021-04-23,0,7,6,77,120,86,115.8
Mumbai,2021-04-24,0,6,6,72,119,89,115.8
Mumbai,2021-04-25,0,6,7,89,122,81,115.8
Mumbai,2021-04-26,0,6,8,148,53,115,115.8
Mumbai,2021-04-27,0,7,8,251,40,124,115.8
Mumbai,2021-04-28,0,6,6,183,30,85,115.8
Mumbai,2021-04-29,0,5,5,57,20,80,115.8
Mumbai,2021-04-30,0,7,5,88,38,71,115.8
Mumbai,2021-05-01,0,9,7,68,22,65,75.3
Mumbai,2021-05-02,0,10,8,69,23,69,75.3
Mumbai,2021-05-03,0,12,14,94,31,89,75.3
Mumbai,2021-05-04,0,12,11,83,29,103,75.3
Mumbai,2021-05-05,0,9,6,64,27,77,75.3
Mumbai,2021-05-06,0,8,5,73,26,85,75.3
Mumbai,2021-05-07,0,8,5,83,27,77,75.3
Mumbai,2021-05-08,0,8,5,75,23,58,75.3
Mumbai,2021-05-09,0,10,6,98,22,64,75.3
Mumbai,2021-05-10,0,8,5,77,19,62,75.3
Mumbai,2021-05-11,0,8,5,75,27,68,75.3
