city,date,co,no2,o3,pm10,pm25,aqi_daily,aqi_monthly
New Delhi,2021-01-01,1,34,19,368,318,359,248.3
New Delhi,2021-01-02,2,33,8,357,288,340,248.3
New Delhi,2021-01-03,1,23,5,188,151,209,248.3
New Delhi,2021-01-04,1,21,7,124,98,167,248.3
New Delhi,2021-01-05,1,18,6,96,79,147,248.3
New Delhi,2021-01-06,1,17,8,169,142,193,248.3
New Delhi,2021-01-07,1,14,9,138,112,171,248.3
New Delhi,2021-01-08,1,18,6,174,131,188,248.3
New Delhi,2021-01-09,1,17,8,174,139,189,248.3
New Delhi,2021-01-10,1,14,11,144,118,171,248.3
New Delhi,2021-01-11,1,17,12,160,124,186,248.3
New Delhi,2021-01-12,1,20,10,219,175,230,248.3
New Delhi,2021-01-13,2,26,12,290,230,278,248.3
New Delhi,2021-01-14,2,35,13,444,364,410,248.3
New Delhi,2021-01-15,3,35,14,480,393,440,248.3
New Delhi,2021-01-16,2,27,9,300,241,292,248.3
New Delhi,2021-01-17,1,19,9,247,199,254,248.3
New Delhi,2021-01-18,2,23,10,267,204,266,248.3
New Delhi,2021-01-19,2,25,7,300,246,294,248.3
New Delhi,2021-01-20,1,19,11,164,125,188,248.3
New Delhi,2021-01-21,1,25,14,199,152,217,248.3
New Delhi,2021-01-22,3,28,4,367,287,345,248.3
New Delhi,2021-01-23,2,31,5,274,209,261,248.3
New Delhi,2021-01-24,1,20,6,256,191,245,248.3
New Delhi,2021-01-25,1,18,13,192,140,201,248.3
New Delhi,2021-01-26,1,21,18,222,163,223,248.3
New Delhi,2021-01-27,1,29,16,232,162,229,248.3
New Delhi,2021-01-28,2,33,12,324,243,302,248.3
New Delhi,2021-01-29,1,30,13,267,196,256,248.3
New Delhi,2021-01-30,1,30,12,211,151,212,248.3
New Delhi,2021-01-31,2,30,13,233,160,234,248.3
New Delhi,2021-02-01,2,38,15,298,213,283,207.0
New Delhi,2021-02-02,2,39,14,294,208,277,207.0
New Delhi,2021-02-03,1,28,12,216,156,215,207.0
New Delhi,2021-02-04,1,23,9,155,118,183,207.0
New Delhi,2021-02-05,1,24,14,114,75,151,207.0
New Delhi,2021-02-06,1,22,11,146,105,173,207.0
New Delhi,2021-02-07,1,23,12,187,137,201,207.0
New Delhi,2021-02-08,2,32,12,229,162,225,207.0
New Delhi,2021-02-09,2,37,12,262,158,252,207.0
New Delhi,2021-02-10,1,31,15,228,151,222,207.0
New Delhi,2021-02-11,1,30,12,232,166,227,207.0
New Delhi,2021-02-12,1,29,12,279,206,263,207.0
New Delhi,2021-02-13,2,28,14,228,165,230,207.0
New Delhi,2021-02-14,2,27,16,233,168,234,207.0
New Delhi,2021-02-15,2,29,15,207,140,208,207.0
New Delhi,2021-02-16,1,30,16,215,146,210,207.0
New Delhi,2021-02-17,1,30,15,222,148,216,207.0
New Delhi,2021-02-18,1,30,16,203,136,204,207.0
New Delhi,2021-02-19,1,28,12,216,152,214,207.0
New Delhi,2021-02-20,1,26,11,161,109,178,207.0
New Delhi,2021-02-21,1,28,14,219,155,219,207.0
New Delhi,2021-02-22,1,28,13,190,122,192,207.0
New Delhi,2021-02-23,2,30,16,180,99,185,207.0
New Delhi,2021-02-24,2,32,18,214,112,206,207.0
New Delhi,2021-02-25,1,30,14,202,119,194,207.0
New Delhi,2021-02-26,1,25,12,166,92,167,207.0
New Delhi,2021-02-27,1,23,10,132,53,131,207.0
New Delhi,2021-02-28,1,23,15,131,61,137,207.0
New Delhi,2021-03-01,1,22,16,125,62,138,154.6
New Delhi,2021-03-02,1,19,20,122,58,137,154.6
New Delhi,2021-03-03,1,27,17,151,81,159,154.6
New Delhi,2021-03-04,2,37,18,190,102,183,154.6
New Delhi,2021-03-05,1,25,16,164,100,167,154.6
New Delhi,2021-03-06,1,25,17,150,89,165,154.6
New Delhi,2021-03-07,1,27,20,172,94,171,154.6
New Delhi,2021-03-08,1,22,19,155,89,165,154.6
New Delhi,2021-03-09,1,23,15,191,106,182,154.6
New Delhi,2021-03-10,1,24,15,114,61,131,154.6
New Delhi,2021-03-11,1,26,14,163,94,169,154.6
New Delhi,2021-03-12,1,21,11,123,60,133,154.6
New Delhi,2021-03-13,1,23,15,151,90,166,154.6
New Delhi,2021-03-14,1,20,15,135,84,156,154.6
New Delhi,2021-03-15,1,21,13,155,82,160,154.6
New Delhi,2021-03-16,1,20,9,200,89,181,154.6
New Delhi,2021-03-17,1,22,11,205,85,181,154.6
New Delhi,2021-03-18,1,26,12,209,87,187,154.6
New Delhi,2021-03-19,1,23,13,167,77,158,154.6
New Delhi,2021-03-20,1,22,16,163,87,162,154.6
New Delhi,2021-03-21,1,23,18,162,85,162,154.6
New Delhi,2021-03-22,1,21,13,141,57,141,154.6
New Delhi,2021-03-23,1,21,9,151,49,135,154.6
New Delhi,2021-03-24,1,20,16,114,52,121,154.6
New Delhi,2021-03-25,1,16,15,92,46,113,154.6
New Delhi,2021-03-26,1,20,17,112,65,136,154.6
New Delhi,2021-03-27,1,26,17,138,77,152,154.6
New Delhi,2021-03-28,1,19,29,115,62,129,154.6
New Delhi,2021-03-29,1,49,4,68,57,120,154.6
New Delhi,2021-03-30,1,12,24,264,51,235,154.6
