city,date,co,no2,o3,pm10,pm25,aqi_daily,aqi_monthly
Noida,2021-01-01,,,,360,322,364,247.5
Noida,2021-01-02,,18,1,286,244,295,247.5
Noida,2021-01-03,,14,2,151,130,196,247.5
Noida,2021-01-04,,13,0,108,90,165,247.5
Noida,2021-01-05,,15,0,80,65,142,247.5
Noida,2021-01-06,,12,0,148,119,176,247.5
Noida,2021-01-07,,12,1,139,106,169,247.5
Noida,2021-01-08,,12,2,195,147,205,247.5
Noida,2021-01-09,,12,2,176,140,194,247.5
Noida,2021-01-10,,12,2,132,103,171,247.5
Noida,2021-01-11,,12,2,143,112,181,247.5
Noida,2021-01-12,,20,2,219,180,229,247.5
Noida,2021-01-13,,28,3,290,234,281,247.5
Noida,2021-01-14,,20,2,389,320,363,247.5
Noida,2021-01-15,,21,2,442,354,405,247.5
Noida,2021-01-16,,28,2,389,318,361,247.5
Noida,2021-01-17,,20,0,248,213,264,247.5
Noida,2021-01-18,,16,2,251,196,254,247.5
Noida,2021-01-19,,16,1,340,280,324,247.5
Noida,2021-01-20,,14,1,162,128,190,247.5
Noida,2021-01-21,,14,2,189,144,212,247.5
Noida,2021-01-22,,14,0,347,277,332,247.5
Noida,2021-01-23,,14,2,228,184,239,247.5
Noida,2021-01-24,,16,0,273,229,280,247.5
Noida,2021-01-25,,16,0,197,163,220,247.5
Noida,2021-01-26,,,0,222,185,243,247.5
Noida,2021-01-27,,19,2,216,161,223,247.5
Noida,2021-01-28,,18,2,303,241,294,247.5
Noida,2021-01-29,,20,2,282,224,270,247.5
Noida,2021-01-30,,20,2,180,134,196,247.5
Noida,2021-01-31,,21,2,228,169,236,247.5
Noida,2021-02-01,,21,2,292,236,285,205.1
Noida,2021-02-02,,18,4,269,204,267,205.1
Noida,2021-02-03,,14,2,216,172,231,205.1
Noida,2021-02-04,,14,4,152,121,186,205.1
Noida,2021-02-05,,16,4,84,60,140,205.1
Noida,2021-02-06,,16,4,122,92,166,205.1
Noida,2021-02-07,,16,2,164,126,193,205.1
Noida,2021-02-08,,18,4,222,168,231,205.1
Noida,2021-02-09,,17,2,280,198,275,205.1
Noida,2021-02-10,,16,4,207,137,215,205.1
