city,date,co,no2,o3,pm10,pm25,aqi_daily,aqi_monthly
Pune,2021-01-01,6,42,58,194,50,132,109.9
Pune,2021-01-02,6,147,54,174,57,134,109.9
Pune,2021-01-03,6,86,53,172,55,137,109.9
Pune,2021-01-04,6,95,49,178,60,143,109.9
Pune,2021-01-05,6,90,40,175,58,134,109.9
Pune,2021-01-06,6,100,27,165,51,123,109.9
Pune,2021-01-07,6,123,34,152,35,106,109.9
Pune,2021-01-08,6,118,50,110,26,88,109.9
Pune,2021-01-09,8,96,45,71,15,64,109.9
Pune,2021-01-10,7,62,46,117,26,89,109.9
Pune,2021-01-11,7,74,47,130,29,94,109.9
Pune,2021-01-12,6,95,53,123,27,90,109.9
Pune,2021-01-13,6,144,55,140,33,104,109.9
Pune,2021-01-14,7,122,55,129,29,99,109.9
Pune,2021-01-15,7,120,56,119,25,94,109.9
Pune,2021-01-16,8,100,57,115,25,91,109.9
Pune,2021-01-17,8,75,54,121,26,98,109.9
Pune,2021-01-18,7,99,51,131,31,107,109.9
Pune,2021-01-19,7,103,53,148,40,118,109.9
Pune,2021-01-20,8,102,50,147,42,116,109.9
Pune,2021-01-21,7,76,53,108,26,88,109.9
Pune,2021-01-22,7,80,57,75,16,74,109.9
Pune,2021-01-23,7,186,38,164,48,130,109.9
Pune,2021-01-24,8,117,44,153,41,118,109.9
Pune,2021-01-25,7,93,52,137,30,104,109.9
Pune,2021-01-26,6,133,49,147,36,114,109.9
Pune,2021-01-27,6,110,49,144,35,114,109.9
Pune,2021-01-28,7,132,56,151,39,119,109.9
Pune,2021-01-29,6,131,56,160,53,132,109.9
Pune,2021-01-30,6,182,53,159,47,134,109.9
Pune,2021-01-31,7,126,50,147,35,119,109.9
Pune,2021-02-01,6,63,46,151,39,117,114.9
Pune,2021-02-02,5,103,46,164,55,138,114.9
Pune,2021-02-03,5,144,46,160,57,137,114.9
Pune,2021-02-04,5,210,42,162,60,138,114.9
Pune,2021-02-05,5,164,45,154,46,125,114.9
Pune,2021-02-06,4,166,50,146,36,114,114.9
Pune,2021-02-07,4,106,52,139,32,102,114.9
Pune,2021-02-08,4,140,53,145,42,113,114.9
Pune,2021-02-09,4,107,47,157,48,116,114.9
Pune,2021-02-10,4,155,40,167,50,125,114.9
Pune,2021-02-11,5,181,48,158,44,136,114.9
Pune,2021-02-12,5,225,47,153,40,138,114.9
Pune,2021-02-13,6,218,48,167,51,145,114.9
Pune,2021-02-14,6,197,51,176,62,156,114.9
Pune,2021-02-15,6,155,53,171,57,139,114.9
Pune,2021-02-16,7,153,52,154,41,114,114.9
Pune,2021-02-17,7,118,48,140,31,102,114.9
Pune,2021-02-18,7,104,51,136,32,100,114.9
Pune,2021-02-19,6,99,54,112,25,89,114.9
Pune,2021-02-20,6,112,53,99,21,86,114.9
Pune,2021-02-21,6,118,52,119,24,93,114.9
Pune,2021-02-22,6,112,56,135,29,100,114.9
Pune,2021-02-23,6,155,51,136,30,102,114.9
Pune,2021-02-24,6,176,54,139,33,108,114.9
Pune,2021-02-25,6,177,53,139,31,108,114.9
Pune,2021-02-26,6,143,51,130,29,98,114.9
Pune,2021-02-27,7,132,49,107,22,85,114.9
Pune,2021-02-28,7,139,54,122,24,92,114.9
Pune,2021-03-01,7,136,57,125,26,100,110.2
Pune,2021-03-02,7,193,54,132,28,104,110.2
Pune,2021-03-03,6,185,47,129,30,94,110.2
Pune,2021-03-04,7,171,44,118,27,90,110.2
Pune,2021-03-05,7,205,53,125,31,102,110.2
Pune,2021-03-06,8,175,54,119,29,101,110.2
Pune,2021-03-07,7,162,51,128,31,105,110.2
Pune,2021-03-08,6,146,50,116,27,92,110.2
Pune,2021-03-09,7,172,54,123,30,93,110.2
Pune,2021-03-10,8,173,54,134,33,102,110.2
Pune,2021-03-11,7,150,45,134,32,98,110.2
Pune,2021-03-12,6,127,40,128,30,93,110.2
Pune,2021-03-13,6,131,48,135,32,101,110.2
Pune,2021-03-14,6,169,56,131,32,104,110.2
Pune,2021-03-15,7,164,59,128,32,105,110.2
Pune,2021-03-16,7,166,54,146,41,111,110.2
Pune,2021-03-17,6,174,57,158,53,126,110.2
