city,date,co,no2,o3,pm10,pm25,aqi_daily,aqi_monthly
Jaipur,2021-01-01,1,,,,,,144.1
Jaipur,2021-01-02,1,13,25,122,87,160,144.1
Jaipur,2021-01-03,1,12,18,117,85,160,144.1
Jaipur,2021-01-04,1,10,18,65,35,100,144.1
Jaipur,2021-01-05,1,10,16,59,28,83,144.1
Jaipur,2021-01-06,1,14,12,103,46,122,144.1
Jaipur,2021-01-07,1,14,15,94,54,122,144.1
Jaipur,2021-01-08,1,12,13,96,56,134,144.1
Jaipur,2021-01-09,1,14,11,103,60,135,144.1
Jaipur,2021-01-10,1,17,17,102,59,137,144.1
Jaipur,2021-01-11,1,18,22,64,33,90,144.1
Jaipur,2021-01-12,1,26,13,106,52,117,144.1
Jaipur,2021-01-13,1,28,12,133,67,134,144.1
Jaipur,2021-01-14,1,23,12,125,68,131,144.1
Jaipur,2021-01-15,1,24,17,142,62,165,144.1
Jaipur,2021-01-16,1,30,18,156,60,156,144.1
Jaipur,2021-01-17,1,16,28,204,77,214,144.1
Jaipur,2021-01-18,1,14,20,140,87,161,144.1
Jaipur,2021-01-19,1,27,15,165,97,168,144.1
Jaipur,2021-01-20,1,30,16,156,77,151,144.1
Jaipur,2021-01-21,1,29,16,121,62,132,144.1
Jaipur,2021-01-22,1,34,4,187,114,178,144.1
Jaipur,2021-01-23,1,38,7,206,111,180,144.1
Jaipur,2021-01-24,1,20,22,161,87,159,144.1
Jaipur,2021-01-25,1,16,22,121,70,149,144.1
Jaipur,2021-01-26,1,20,19,140,78,156,144.1
Jaipur,2021-01-27,1,24,16,143,74,148,144.1
Jaipur,2021-01-28,1,22,22,140,67,146,144.1
Jaipur,2021-01-29,1,27,17,164,83,153,144.1
Jaipur,2021-01-30,1,30,13,149,76,145,144.1
Jaipur,2021-01-31,1,23,16,126,62,137,144.1
Jaipur,2021-02-01,1,28,14,130,59,128,131.2
Jaipur,2021-02-02,1,28,16,145,69,140,131.2
Jaipur,2021-02-03,1,26,14,125,54,129,131.2
Jaipur,2021-02-04,1,16,18,114,52,127,131.2
Jaipur,2021-02-05,1,15,20,100,54,132,131.2
Jaipur,2021-02-06,1,18,19,76,37,104,131.2
Jaipur,2021-02-07,1,22,17,106,51,121,131.2
Jaipur,2021-02-08,1,26,14,132,61,132,131.2
Jaipur,2021-02-09,1,26,15,153,63,142,131.2
Jaipur,2021-02-10,1,12,17,106,46,115,131.2
Jaipur,2021-02-11,1,14,16,110,45,126,131.2
Jaipur,2021-02-12,1,14,22,101,58,138,131.2
Jaipur,2021-02-13,1,19,21,103,50,126,131.2
