city,date,co,no2,o3,pm10,pm25,aqi_daily,aqi_monthly
Kolkata,2021-01-01,,,,,,,205.3
Kolkata,2021-01-02,1,27,13,249,144,214,205.3
Kolkata,2021-01-03,2,30,13,282,176,239,205.3
Kolkata,2021-01-04,1,28,13,224,124,188,205.3
Kolkata,2021-01-05,1,26,14,184,103,172,205.3
Kolkata,2021-01-06,2,32,14,254,149,214,205.3
Kolkata,2021-01-07,1,35,14,266,152,219,205.3
Kolkata,2021-01-08,1,29,12,194,117,186,205.3
Kolkata,2021-01-09,1,23,17,162,91,163,205.3
Kolkata,2021-01-10,1,23,15,199,89,188,205.3
Kolkata,2021-01-11,1,22,13,161,102,177,205.3
Kolkata,2021-01-12,1,18,20,142,114,177,205.3
Kolkata,2021-01-13,0,16,22,162,97,165,205.3
Kolkata,2021-01-14,1,18,20,268,130,237,205.3
Kolkata,2021-01-15,1,21,20,206,204,245,205.3
Kolkata,2021-01-16,1,19,19,235,226,251,205.3
Kolkata,2021-01-17,1,19,17,262,295,299,205.3
Kolkata,2021-01-18,1,24,14,272,274,247,205.3
Kolkata,2021-01-19,1,23,16,259,159,214,205.3
Kolkata,2021-01-20,1,21,13,169,105,174,205.3
Kolkata,2021-01-21,1,24,16,197,121,182,205.3
Kolkata,2021-01-22,1,20,14,206,125,190,205.3
Kolkata,2021-01-23,1,37,5,241,226,260,205.3
Kolkata,2021-01-24,1,23,20,206,204,240,205.3
Kolkata,2021-01-25,1,21,15,212,183,228,205.3
Kolkata,2021-01-26,1,21,12,192,119,179,205.3
Kolkata,2021-01-27,1,22,16,212,114,187,205.3
Kolkata,2021-01-28,1,22,17,185,102,168,205.3
Kolkata,2021-01-29,1,24,15,202,118,180,205.3
Kolkata,2021-01-30,1,25,13,225,130,188,205.3
Kolkata,2021-01-31,1,22,19,221,128,187,205.3
Kolkata,2021-02-01,1,25,17,199,119,183,175.8
Kolkata,2021-02-02,1,31,16,232,133,198,175.8
Kolkata,2021-02-03,1,34,15,267,140,207,175.8
Kolkata,2021-02-04,1,32,14,244,130,200,175.8
Kolkata,2021-02-05,1,32,13,227,127,193,175.8
Kolkata,2021-02-06,1,27,16,234,128,198,175.8
Kolkata,2021-02-07,0,22,17,110,62,138,175.8
Kolkata,2021-02-08,1,28,14,141,80,154,175.8
Kolkata,2021-02-09,2,35,14,234,121,198,175.8
Kolkata,2021-02-10,1,33,23,206,115,183,175.8
Kolkata,2021-02-11,1,28,17,191,103,173,175.8
Kolkata,2021-02-12,1,26,17,172,95,166,175.8
Kolkata,2021-02-13,1,27,16,197,108,176,175.8
Kolkata,2021-02-14,0,20,17,145,84,157,175.8
Kolkata,2021-02-15,1,22,15,124,66,142,175.8
Kolkata,2021-02-16,1,22,17,172,101,170,175.8
Kolkata,2021-02-17,1,24,11,223,157,212,175.8
Kolkata,2021-02-18,1,25,19,206,108,180,175.8
Kolkata,2021-02-19,1,26,15,212,108,180,175.8
Kolkata,2021-02-20,1,24,13,217,116,183,175.8
Kolkata,2021-02-21,1,26,15,228,118,185,175.8
Kolkata,2021-02-22,1,25,18,227,119,184,175.8
Kolkata,2021-02-23,1,21,19,197,101,170,175.8
Kolkata,2021-02-24,1,23,18,177,92,166,175.8
Kolkata,2021-02-25,1,22,22,196,97,171,175.8
Kolkata,2021-02-26,1,19,22,162,80,159,175.8
Kolkata,2021-02-27,1,22,18,164,78,152,175.8
Kolkata,2021-02-28,0,16,22,129,61,143,175.8
Kolkata,2021-03-01,0,16,18,118,56,135,145.9
Kolkata,2021-03-02,0,14,15,133,64,143,145.9
Kolkata,2021-03-03,1,17,20,142,60,139,145.9
Kolkata,2021-03-04,1,19,24,197,100,172,145.9
Kolkata,2021-03-05,0,12,19,120,60,141,145.9
Kolkata,2021-03-06,1,16,20,143,65,140,145.9
Kolkata,2021-03-07,0,12,20,147,73,149,145.9
Kolkata,2021-03-08,0,12,21,111,57,135,145.9
Kolkata,2021-03-09,0,11,11,75,37,101,145.9
Kolkata,2021-03-10,0,11,9,59,25,79,145.9
Kolkata,2021-03-11,0,10,10,69,32,93,145.9
Kolkata,2021-03-12,0,12,10,82,38,104,145.9
Kolkata,2021-03-13,0,14,15,157,65,145,145.9
Kolkata,2021-03-14,1,15,20,115,59,138,145.9
Kolkata,2021-03-15,0,17,26,124,64,146,145.9
Kolkata,2021-03-16,1,18,20,146,67,153,145.9
Kolkata,2021-03-17,0,20,21,203,91,170,145.9
Kolkata,2021-03-18,1,19,19,183,80,165,145.9
Kolkata,2021-03-19,1,23,19,219,96,173,145.9
Kolkata,2021-03-20,1,24,20,252,112,180,145.9
Kolkata,2021-03-21,0,16,21,188,89,167,145.9
Kolkata,2021-03-22,1,18,23,193,93,168,145.9
Kolkata,2021-03-23,1,19,22,211,98,172,145.9
Kolkata,2021-03-24,0,17,25,173,82,163,145.9
Kolkata,2021-03-25,1,21,17,163,78,153,145.9
Kolkata,2021-03-26,1,20,26,178,77,158,145.9
Kolkata,2021-03-27,1,19,25,188,82,152,145.9
Kolkata,2021-03-28,0,13,22,154,79,161,145.9
Kolkata,2021-03-29,0,10,17,106,56,144,145.9
Kolkata,2021-03-30,0,10,15,109,51,135,145.9
Kolkata,2021-03-31,0,12,23,143,67,148,145.9
Kolkata,2021-04-01,0,12,23,147,66,151,110.4
Kolkata,2021-04-02,0,9,20,127,50,143,110.4
Kolkata,2021-04-03,0,9,18,117,50,126,110.4
Kolkata,2021-04-04,0,9,24,122,44,126,110.4
Kolkata,2021-04-05,0,13,23,96,46,123,110.4
Kolkata,2021-04-06,0,11,18,101,45,122,110.4
Kolkata,2021-04-07,0,8,16,88,37,104,110.4
Kolkata,2021-04-08,0,8,15,86,38,108,110.4
Kolkata,2021-04-09,0,9,15,81,38,107,110.4
Kolkata,2021-04-10,0,8,18,93,45,119,110.4
Kolkata,2021-04-11,0,9,19,81,37,104,110.4
Kolkata,2021-04-12,0,11,18,89,42,120,110.4
Kolkata,2021-04-13,0,9,16,72,34,98,110.4
Kolkata,2021-04-14,0,8,14,71,33,95,110.4
Kolkata,2021-04-15,0,8,16,74,37,104,110.4
